at,dvc,DD,E,NegE,AC,current_ratio,debt_to_equity,roe,asset_turnover,tic,cik,fyear,mrk_eq,E_1,csho,sentiment
14535.556,0,0,1693.954,0,-700.923,2.054685004,0.718177433,0.20023407,0.50232031,ADBE,796343,2017,69787344640,2590.774,491.262,Negative
18768.682,0,0,2590.774,0,-891.818,1.129248248,1.004748287,0.276729593,0.48112105,ADBE,796343,2018,1.19385E+11,2909.458,487.663,Negative
2015.8,66.6,1,237.5,0,-70.4,1.697042366,1.552291719,0.285641935,1.141184641,TUP,1008654,2010,2517603450,280.8,62.706,Uncertainty
1844.2,72.5,1,280.8,0,-9.6,1.139176784,2.682507987,0.435902556,1.40169179,TUP,1008654,2011,4209284700,292.3,56.508,Negative
1821.8,80.4,1,292.3,0,-40.8,1.103671706,2.802546441,0.402838656,1.418267647,TUP,1008654,2012,3061850640,287.7,54.06,Negative
1843.9,129.8,1,287.7,0,-57.7,1.056271186,6.29102412,1.084223013,1.448885514,TUP,1008654,2013,4109024100,269.3,50.324,Uncertainty
1783.1,137.8,1,269.3,0,-36.5,1.008295424,8.596878364,1.153928956,1.461555718,TUP,1008654,2014,4222916100,221,49.682,Uncertainty
1598.2,137.5,1,221,0,-211.7,0.896579805,8.926708075,1.154037267,1.428982605,TUP,1008654,2015,3216931760,235.5,50.437,Uncertainty
1587.8,139.1,1,235.5,0,-68.2,0.995799854,6.461466165,1.05075188,1.393815342,TUP,1008654,2016,2842308840,-129.1,50.638,Uncertainty
1388,140.2,1,-129.1,1,-82.1,0.957043109,-12.62479062,2.22278057,1.625216138,TUP,1008654,2017,3562416750,173.9,51.058,Uncertainty
1308.8,136.1,1,173.9,0,-23.9,0.817547095,-6.56462585,-0.662840136,1.581372249,TUP,1008654,2018,2108065080,88.7,48.667,Uncertainty
126.646,0,0,-16.861,1,-14.244,4.737974333,0.151484293,-0.125798973,0.194258011,GDEN,1071255,2010,40344570,2.155,13.1845,Uncertainty
116,0,0,2.155,0,-9.475,19.83994878,0.063351942,-0.016912796,0.306663793,GDEN,1071255,2011,58093200,1.061,13.203,Litigious
119.722,0,0,1.061,0,-8.143,8.46005185,0.067259777,0.028713551,0.091478592,GDEN,1071255,2012,76678900,-1.73,13.2205,Negative
147.261,0,0,-1.73,1,-1.843,18.70499897,0.114946358,0.141210942,0.263409864,GDEN,1071255,2013,93072320,-3.775,13.3605,Litigious
122.029,0,0,-3.775,1,-6.129,15.32547515,0.133929899,-0.230867157,0.452122037,GDEN,1071255,2014,125898300,12.879,13.389,Negative
378.784,0,0,12.879,0,-10.2,3.300086799,0.799577167,0.116492862,0.467395666,GDEN,1071255,2015,121599360,13.926,21.868,Negative
419.078,23.529,1,13.926,0,-25.145,1.840614181,1.00107914,0.077831788,0.96212161,GDEN,1071255,2016,258407450,10.16,22.232,Negative
1365.175,0,0,10.16,0,-66.947,1.711450912,3.253000863,0.00676343,0.373437838,GDEN,1071255,2017,462288620,-17.174,26.413,Uncertainty
1366.569,0,0,-17.174,1,-101.249,1.878253055,3.336221887,-0.066361629,0.623308446,GDEN,1071255,2018,739202120,-26.907,26.779,Uncertainty
12719,0,0,767,0,-958,0.916819947,1.761997828,0.129641694,0.486673481,GEN,849399,2010,11088579320,712,758,Negative
13020,0,0,712,0,-991,1.028412875,1.517401392,0.226604795,0.516897081,GEN,849399,2011,14899268520,867,724,Negative
14379,0,0,867,0,-552,1.135382956,1.652462645,0.141117875,0.480283747,GEN,849399,2012,10530099060,1195,698,Negative
13539,429,1,1195,0,-232,1.312587088,1.335518372,0.154907711,0.494940542,GEN,849399,2013,15660354800,1130,695,Negative
13233,428,1,1130,0,-273,1.217606108,1.229654591,0.147935973,0.491800801,GEN,849399,2014,15839792600,-685,684,Negative
11767,3085,1,-685,1,115,1.725514505,2.201033732,0.676822633,0.305940342,GEN,849399,2015,15826926000,181,612,Negative
18174,191,1,181,0,-548,1.151882302,4.211930026,-0.030398623,0.22114009,GEN,849399,2016,12642452160,944,608,Negative
15759,144,1,944,0,-265,1.101892744,2.137368107,0.226557834,0.306745352,GEN,849399,2017,17182780000,260,624,Negative
15938,197,1,260,0,-908,0.845990441,1.777622865,0.005402579,0.296837746,GEN,849399,2018,12834780350,254,630,Negative
15.948,0,0,0.156,0,-1.11,3.35,0.275125929,0.012473015,0.198269375,MXC,66418,2010,14496000,0.33,2.03,Uncertainty
16.574,0,0,0.33,0,-1.345,2.186567164,0.277478033,0.025435486,0.195486907,MXC,66418,2011,18777500,-0.176,2.036,Uncertainty
17.935,0,0,-0.176,1,-0.974,1.715277778,0.386333771,-0.013604391,0.172623362,MXC,66418,2012,12034440,0.301,2.037,Uncertainty
17.918,0,0,0.301,0,-0.966,2.689320388,0.337263975,0.022464363,0.225583212,MXC,66418,2013,11872800,-0.341,2.038,Uncertainty
21.471,0,0,-0.341,1,-1.693,1.394799054,0.62572878,-0.025819641,0.157887383,MXC,66418,2014,16935780,-3.98,2.037,Uncertainty
16.467,0,0,-3.98,1,-1.69,1.069277108,0.762307363,-0.425941781,0.147082043,MXC,66418,2015,9492420,-0.842,2.037,Uncertainty
12.708,0,0,-0.842,1,-0.907,3.686131387,0.460353942,-0.079866697,0.18712622,MXC,66418,2016,5031390,-0.321,2.037,Uncertainty
10.401,0,0,-0.321,1,-0.774,3.06935123,0.237919543,-0.038205189,0.260071147,MXC,66418,2017,8773359,-0.013,2.037,Uncertainty
9.45,0,0,-0.013,1,-0.994,3.385542169,0.120996441,-0.001542112,0.284338624,MXC,66418,2018,12201630,-0.099,2.04,Uncertainty
5016.6,0,0,264.3,0,-320.1,1.166561381,3.538266691,0.22715759,0.763923773,ALK,766421,2010,1600399800,289.6,143.696,Negative
5195,0,0,289.6,0,-344.3,1.056902491,3.428060007,0.208404364,0.831145332,ALK,766421,2011,2462026980,316,141.9,Negative
5505,0,0,316,0,-271.9,1.157228514,2.874032372,0.222378607,0.84595822,ALK,766421,2012,2546997300,316,140.754,Uncertainty
5838,28,1,316,0,-446,1.115189873,1.877279448,0.25036964,0.850291196,ALK,766421,2013,3649672000,575,137.492,Uncertainty
6181,68,1,575,0,-278,1.050867744,1.905970851,0.284438176,0.868467885,ALK,766421,2014,6531740950,880,131.481,Uncertainty
6533,102,1,880,0,-661,0.920819491,1.70966404,0.351721277,0.856880453,ALK,766421,2015,8308441790,931,125.175,Uncertainty
9962,136,1,931,0,-753,0.808678501,2.398839986,0.277720914,0.595362377,ALK,766421,2016,7174274910,1152,123.328,Uncertainty
10740,148,1,1152,0,-494,0.794814815,1.886320881,0.27788229,0.738640596,ALK,766421,2017,11083834080,569,123.061,Uncertainty
10912,158,1,569,0,-435,0.607409925,1.909090909,0.116502266,0.757331378,ALK,766421,2018,7443611010,813,123.194,Uncertainty
7098.438,127.292,1,225.621,0,-67.171,1.38687134,1.305663827,0.073959884,0.186337896,EQT,33213,2010,5376800780,263.541,149.153,Uncertainty
